Taygan,46.3500,97.2833,Mongolia,MN,Govĭ-Altay,minor,,
Tögöl,50.6833,99.2333,Mongolia,MN,Hövsgöl,minor,,
Nart,47.7204,107.7956,Mongolia,MN,Töv,minor,,
Talshand,45.3333,97.9833,Mongolia,MN,Govĭ-Altay,minor,,
Hajuu-Us,46.0667,107.5000,Mongolia,MN,Dundgovĭ,minor,,
Hongor,45.8000,111.2000,Mongolia,MN,Dornogovĭ,minor,,
Tsagaan-Ovoo,45.5167,105.7500,Mongolia,MN,Dundgovĭ,minor,,
Tsagaan-Olom,46.7000,96.5000,Mongolia,MN,Govĭ-Altay,minor,,
Hoviyn Am,47.2667,98.5333,Mongolia,MN,Bayanhongor,minor,,
Sergelen,48.5667,114.0833,Mongolia,MN,Dornod,minor,,
Naranbulag,49.2333,113.3667,Mongolia,MN,Dornod,minor,,
Bodĭ,45.4000,100.5667,Mongolia,MN,Bayanhongor,minor,,
Bulgan,44.1128,103.5425,Mongolia,MN,Ömnögovĭ,minor,,
Hashaat,45.2500,104.8333,Mongolia,MN,Dundgovĭ,minor,,
Dashbalbar,49.5333,114.4000,Mongolia,MN,Dornod,minor,,
Tögrög,45.7667,94.9333,Mongolia,MN,Govĭ-Altay,minor,,
Böhöt,45.2500,108.2833,Mongolia,MN,Dundgovĭ,minor,,
Bayansayr,45.5500,99.4167,Mongolia,MN,Bayanhongor,minor,,
Buyant,46.2500,110.8333,Mongolia,MN,Hentiy,minor,,
Bayanbaraat,46.8667,106.2500,Mongolia,MN,Töv,minor,,
Argatay,45.7667,107.9833,Mongolia,MN,Dundgovĭ,minor,,
Bayan,47.1667,110.8167,Mongolia,MN,Hentiy,minor,,
Aldar,47.7000,96.6000,Mongolia,MN,Dzavhan,minor,,
Hatavch,46.1667,112.9500,Mongolia,MN,Sühbaatar,minor,,
Herlen,47.3000,110.5667,Mongolia,MN,Hentiy,minor,,
Sharga,46.2500,95.2667,Mongolia,MN,Govĭ-Altay,minor,,
Sharbulag,48.8167,93.1000,Mongolia,MN,Uvs,minor,,
Shiree,47.5000,96.8500,Mongolia,MN,Dzavhan,minor,,
Chandmanĭ,48.0500,96.2500,Mongolia,MN,Dzavhan,minor,,
Dzüyl,46.2667,93.9167,Mongolia,MN,Govĭ-Altay,minor,,
Eg,48.6833,110.1833,Mongolia,MN,Hentiy,minor,,
Buyant,47.1833,97.5500,Mongolia,MN,Dzavhan,minor,,
Delgermörön,46.5167,98.3500,Mongolia,MN,Bayanhongor,minor,,
Saynshand,43.6167,102.5333,Mongolia,MN,Ömnögovĭ,minor,,
Sharhulsan,44.6500,104.0500,Mongolia,MN,Ömnögovĭ,minor,,
Sayn-Ust,47.3500,94.5500,Mongolia,MN,Govĭ-Altay,minor,,
Bulag,48.2000,108.4833,Mongolia,MN,Töv,minor,,
Suugant,45.5333,107.0500,Mongolia,MN,Dundgovĭ,minor,,
Doloon,44.4333,105.3333,Mongolia,MN,Ömnögovĭ,minor,,
Bor-Üdzüür,45.8000,92.2833,Mongolia,MN,Hovd,minor,,
Bulgan,50.5419,101.5142,Mongolia,MN,Hövsgöl,minor,,
Hulstay,48.4333,114.8667,Mongolia,MN,Dornod,minor,,
Ögöömör,43.7861,104.4961,Mongolia,MN,Ömnögovĭ,minor,,
Sümiyn Bulag,49.1333,114.8833,Mongolia,MN,Dornod,minor,,
Urt,43.2500,101.0833,Mongolia,MN,Ömnögovĭ,minor,,
Ergel,43.1500,109.1333,Mongolia,MN,Dornogovĭ,minor,,
Ereentsav,49.8833,115.7167,Mongolia,MN,Dornod,minor,,
Senj,44.7167,110.7667,Mongolia,MN,Dornogovĭ,minor,,
Hövsgöl,43.6064,109.6381,Mongolia,MN,Dornogovĭ,minor,,
Buga,47.7000,94.8667,Mongolia,MN,Dzavhan,minor,,
Bayangol,45.5491,94.3676,Mongolia,MN,Govĭ-Altay,minor,,
Dalay,43.4900,103.5244,Mongolia,MN,Ömnögovĭ,minor,,
Dzogsool,46.8000,107.1500,Mongolia,MN,Töv,minor,,
Üydzin,44.0833,106.8333,Mongolia,MN,Ömnögovĭ,minor,,
Ulaandel,46.3667,113.6000,Mongolia,MN,Sühbaatar,minor,,
Nuga,48.3167,95.1167,Mongolia,MN,Dzavhan,minor,,
Haraat,46.4167,107.6500,Mongolia,MN,Dundgovĭ,minor,,
Sangiyn Dalay,42.8333,105.1333,Mongolia,MN,Ömnögovĭ,minor,,
Öndörhushuu,48.0000,113.9333,Mongolia,MN,Dornod,minor,,
Hungiy,48.5000,94.2833,Mongolia,MN,Dzavhan,minor,,
Ulaanjirem,45.0500,105.5667,Mongolia,MN,Dundgovĭ,minor,,
Altan,48.1167,95.7167,Mongolia,MN,Dzavhan,minor,,
Hatansuudal,44.5500,100.8333,Mongolia,MN,Bayanhongor,minor,,
Erdenetsogt,42.9742,106.1269,Mongolia,MN,Ömnögovĭ,minor,,
Tahilt,45.3333,96.6500,Mongolia,MN,Govĭ-Altay,minor,,
Haylaastay,46.7708,113.8825,Mongolia,MN,Sühbaatar,minor,,
Chandmanĭ,45.5333,110.4667,Mongolia,MN,Dornogovĭ,minor,,
Dzalaa,44.5333,99.2667,Mongolia,MN,Bayanhongor,minor,,
Töhöm,44.4000,108.2500,Mongolia,MN,Dornogovĭ,minor,,
Tsoohor,43.3128,104.0844,Mongolia,MN,Ömnögovĭ,minor,,
Öldziyt,44.6833,109.0167,Mongolia,MN,Dornogovĭ,minor,,
Dzüünbulag,47.1500,115.5333,Mongolia,MN,Dornod,minor,,
Bayan-Ovoo,44.6167,94.9167,Mongolia,MN,Govĭ-Altay,minor,,
Bulgan,44.7833,98.6500,Mongolia,MN,Bayanhongor,minor,,
Rashaant,45.3000,106.2000,Mongolia,MN,Dundgovĭ,minor,,
Sümber,47.6586,118.5101,Mongolia,MN,Dornod,minor,,
Sangiyn Dalay,45.1333,97.7500,Mongolia,MN,Govĭ-Altay,minor,,
Nüden,43.5833,110.4667,Mongolia,MN,Dornogovĭ,minor,,
Hövüün,43.1736,102.1319,Mongolia,MN,Ömnögovĭ,minor,,
